DSI,EIC,FLPDYR,MARS,XTOT,e00200,e00200p,e00200s,RECID
0,1,2019,1,2,144,144,0,98
0,2,2019,1,3,144,144,0,99
0,3,2019,1,4,144,144,0,100
0,0,2019,2,2,144,100.8,43.2,101
0,1,2019,2,3,144,100.8,43.2,102
0,2,2019,2,4,144,100.8,43.2,103
0,3,2019,2,5,144,100.8,43.2,104
0,0,2019,1,1,156,156,0,105
0,1,2019,1,2,156,156,0,106
0,2,2019,1,3,156,156,0,107
0,3,2019,1,4,156,156,0,108
0,0,2019,2,2,156,109.2,46.8,109
0,1,2019,2,3,156,109.2,46.8,110
0,2,2019,2,4,156,109.2,46.8,111
0,3,2019,2,5,156,109.2,46.8,112
0,0,2019,1,1,168,168,0,113
0,1,2019,1,2,168,168,0,114
0,2,2019,1,3,168,168,0,115
0,3,2019,1,4,168,168,0,116
0,0,2019,2,2,168,117.6,50.400000000000006,117
0,1,2019,2,3,168,117.6,50.400000000000006,118
0,2,2019,2,4,168,117.6,50.400000000000006,119
0,3,2019,2,5,168,117.6,50.400000000000006,120
0,0,2019,1,1,180,180,0,121
0,1,2019,1,2,180,180,0,122
0,2,2019,1,3,180,180,0,123
0,3,2019,1,4,180,180,0,124
0,0,2019,2,2,180,126,54,125
0,1,2019,2,3,180,126,54,126
0,2,2019,2,4,180,126,54,127
0,3,2019,2,5,180,126,54,128
0,0,2019,1,1,192,192,0,129
0,1,2019,1,2,192,192,0,130
0,2,2019,1,3,192,192,0,131
0,3,2019,1,4,192,192,0,132
0,0,2019,2,2,192,134.4,57.599999999999994,133
0,1,2019,2,3,192,134.4,57.599999999999994,134
0,2,2019,2,4,192,134.4,57.599999999999994,135
0,3,2019,2,5,192,134.4,57.599999999999994,136
0,0,2019,1,1,204,204,0,137
0,1,2019,1,2,204,204,0,138
0,2,2019,1,3,204,204,0,139
0,3,2019,1,4,204,204,0,140
0,0,2019,2,2,204,142.8,61.19999999999999,141
0,1,2019,2,3,204,142.8,61.19999999999999,142
0,2,2019,2,4,204,142.8,61.19999999999999,143
0,3,2019,2,5,204,142.8,61.19999999999999,144
0,0,2019,1,1,216,216,0,145
0,1,2019,1,2,216,216,0,146
0,2,2019,1,3,216,216,0,147
0,3,2019,1,4,216,216,0,148
0,0,2019,2,2,216,151.2,64.80000000000001,149
0,1,2019,2,3,216,151.2,64.80000000000001,150
0,2,2019,2,4,216,151.2,64.80000000000001,151
0,3,2019,2,5,216,151.2,64.80000000000001,152
0,0,2019,1,1,228,228,0,153
0,1,2019,1,2,228,228,0,154
0,2,2019,1,3,228,228,0,155
0,3,2019,1,4,228,228,0,156
0,0,2019,2,2,228,159.6,68.4,157
0,1,2019,2,3,228,159.6,68.4,158
0,2,2019,2,4,228,159.6,68.4,159
0,3,2019,2,5,228,159.6,68.4,160
0,0,2019,1,1,240,240,0,161
0,1,2019,1,2,240,240,0,162
0,2,2019,1,3,240,240,0,163
0,3,2019,1,4,240,240,0,164
0,0,2019,2,2,240,168,72,165
0,1,2019,2,3,240,168,72,166
0,2,2019,2,4,240,168,72,167
0,3,2019,2,5,240,168,72,168
0,0,2019,1,1,252,252,0,169
0,1,2019,1,2,252,252,0,170
0,2,2019,1,3,252,252,0,171
0,3,2019,1,4,252,252,0,172
0,0,2019,2,2,252,176.4,75.6,173
0,1,2019,2,3,252,176.4,75.6,174
0,2,2019,2,4,252,176.4,75.6,175
0,3,2019,2,5,252,176.4,75.6,176
0,0,2019,1,1,264,264,0,177
0,1,2019,1,2,264,264,0,178
0,2,2019,1,3,264,264,0,179
0,3,2019,1,4,264,264,0,180
0,0,2019,2,2,264,184.8,79.19999999999999,181
0,1,2019,2,3,264,184.8,79.19999999999999,182
0,2,2019,2,4,264,184.8,79.19999999999999,183
0,3,2019,2,5,264,184.8,79.19999999999999,184
0,0,2019,1,1,276,276,0,185
0,1,2019,1,2,276,276,0,186
0,2,2019,1,3,276,276,0,187
0,3,2019,1,4,276,276,0,188
0,0,2019,2,2,276,193.2,82.80000000000001,189
0,1,2019,2,3,276,193.2,82.80000000000001,190
0,2,2019,2,4,276,193.2,82.80000000000001,191
0,3,2019,2,5,276,193.2,82.80000000000001,192
0,0,2019,1,1,288,288,0,193
0,1,2019,1,2,288,288,0,194
0,2,2019,1,3,288,288,0,195
0,3,2019,1,4,288,288,0,196
0,0,2019,2,2,288,201.6,86.4,197
0,1,2019,2,3,288,201.6,86.4,198
0,2,2019,2,4,288,201.6,86.4,199
0,3,2019,2,5,288,201.6,86.4,200
0,0,2019,1,1,300,300,0,201
0,1,2019,1,2,300,300,0,202
0,2,2019,1,3,300,300,0,203
0,3,2019,1,4,300,300,0,204
0,0,2019,2,2,300,210,90,205
0,1,2019,2,3,300,210,90,206
0,2,2019,2,4,300,210,90,207
0,3,2019,2,5,300,210,90,208
0,0,2019,1,1,312,312,0,209
0,1,2019,1,2,312,312,0,210
0,2,2019,1,3,312,312,0,211
0,3,2019,1,4,312,312,0,212
0,0,2019,2,2,312,218.4,93.6,213
0,1,2019,2,3,312,218.4,93.6,214
0,2,2019,2,4,312,218.4,93.6,215
0,3,2019,2,5,312,218.4,93.6,216
0,0,2019,1,1,324,324,0,217
0,1,2019,1,2,324,324,0,218
0,2,2019,1,3,324,324,0,219
0,3,2019,1,4,324,324,0,220
0,0,2019,2,2,324,226.8,97.19999999999999,221
0,1,2019,2,3,324,226.8,97.19999999999999,222
0,2,2019,2,4,324,226.8,97.19999999999999,223
0,3,2019,2,5,324,226.8,97.19999999999999,224
0,0,2019,1,1,336,336,0,225
0,1,2019,1,2,336,336,0,226
0,2,2019,1,3,336,336,0,227
0,3,2019,1,4,336,336,0,228
0,0,2019,2,2,336,235.2,100.80000000000001,229
0,1,2019,2,3,336,235.2,100.80000000000001,230
0,2,2019,2,4,336,235.2,100.80000000000001,231
0,3,2019,2,5,336,235.2,100.80000000000001,232
0,0,2019,1,1,348,348,0,233
0,1,2019,1,2,348,348,0,234
0,2,2019,1,3,348,348,0,235
0,3,2019,1,4,348,348,0,236
0,0,2019,2,2,348,243.6,104.4,237
0,1,2019,2,3,348,243.6,104.4,238
0,2,2019,2,4,348,243.6,104.4,239
0,3,2019,2,5,348,243.6,104.4,240
0,0,2019,1,1,360,360,0,241
0,1,2019,1,2,360,360,0,242
0,2,2019,1,3,360,360,0,243
0,3,2019,1,4,360,360,0,244
0,0,2019,2,2,360,252,108,245
0,1,2019,2,3,360,252,108,246
0,2,2019,2,4,360,252,108,247
0,3,2019,2,5,360,252,108,248
0,0,2019,1,1,372,372,0,249
0,1,2019,1,2,372,372,0,250
0,2,2019,1,3,372,372,0,251
0,3,2019,1,4,372,372,0,252
0,0,2019,2,2,372,260.4,111.60000000000002,253
0,1,2019,2,3,372,260.4,111.60000000000002,254
0,2,2019,2,4,372,260.4,111.60000000000002,255
0,3,2019,2,5,372,260.4,111.60000000000002,256
0,0,2019,1,1,384,384,0,257
0,1,2019,1,2,384,384,0,258
0,2,2019,1,3,384,384,0,259
0,3,2019,1,4,384,384,0,260
0,0,2019,2,2,384,268.8,115.19999999999999,261
0,1,2019,2,3,384,268.8,115.19999999999999,262
0,2,2019,2,4,384,268.8,115.19999999999999,263
0,3,2019,2,5,384,268.8,115.19999999999999,264
0,0,2019,1,1,396,396,0,265
0,1,2019,1,2,396,396,0,266
0,2,2019,1,3,396,396,0,267
0,3,2019,1,4,396,396,0,268
0,0,2019,2,2,396,277.2,118.80000000000001,269
0,1,2019,2,3,396,277.2,118.80000000000001,270
0,2,2019,2,4,396,277.2,118.80000000000001,271
0,3,2019,2,5,396,277.2,118.80000000000001,272
0,0,2019,1,1,408,408,0,273
0,1,2019,1,2,408,408,0,274
0,2,2019,1,3,408,408,0,275
0,3,2019,1,4,408,408,0,276
0,0,2019,2,2,408,285.6,122.39999999999998,277
0,1,2019,2,3,408,285.6,122.39999999999998,278
0,2,2019,2,4,408,285.6,122.39999999999998,279
0,3,2019,2,5,408,285.6,122.39999999999998,280
0,0,2019,1,1,420,420,0,281
0,1,2019,1,2,420,420,0,282
0,2,2019,1,3,420,420,0,283
0,3,2019,1,4,420,420,0,284
0,0,2019,2,2,420,294,126,285
0,1,2019,2,3,420,294,126,286
0,2,2019,2,4,420,294,126,287
0,3,2019,2,5,420,294,126,288
0,0,2019,1,1,432,432,0,289
0,1,2019,1,2,432,432,0,290
0,2,2019,1,3,432,432,0,291
0,3,2019,1,4,432,432,0,292
0,0,2019,2,2,432,302.4,129.60000000000002,293
0,1,2019,2,3,432,302.4,129.60000000000002,294
0,2,2019,2,4,432,302.4,129.60000000000002,295
0,3,2019,2,5,432,302.4,129.60000000000002,296
0,0,2019,1,1,444,444,0,297
0,1,2019,1,2,444,444,0,298
0,2,2019,1,3,444,444,0,299
0,3,2019,1,4,444,444,0,300
0,0,2019,2,2,444,310.8,133.2,301
0,1,2019,2,3,444,310.8,133.2,302
0,2,2019,2,4,444,310.8,133.2,303
0,3,2019,2,5,444,310.8,133.2,304
0,0,2019,1,1,456,456,0,305
0,1,2019,1,2,456,456,0,306
0,2,2019,1,3,456,456,0,307
0,3,2019,1,4,456,456,0,308
0,0,2019,2,2,456,319.2,136.8,309
0,1,2019,2,3,456,319.2,136.8,310
0,2,2019,2,4,456,319.2,136.8,311
0,3,2019,2,5,456,319.2,136.8,312
0,0,2019,1,1,468,468,0,313
0,1,2019,1,2,468,468,0,314
0,2,2019,1,3,468,468,0,315
0,3,2019,1,4,468,468,0,316
0,0,2019,2,2,468,327.6,140.39999999999998,317
0,1,2019,2,3,468,327.6,140.39999999999998,318
0,2,2019,2,4,468,327.6,140.39999999999998,319
0,3,2019,2,5,468,327.6,140.39999999999998,320
0,0,2019,1,1,480,480,0,321
0,1,2019,1,2,480,480,0,322
0,2,2019,1,3,480,480,0,323
0,3,2019,1,4,480,480,0,324
0,0,2019,2,2,480,336,144,325
0,1,2019,2,3,480,336,144,326
0,2,2019,2,4,480,336,144,327
0,3,2019,2,5,480,336,144,328
0,0,2019,1,1,492,492,0,329
0,1,2019,1,2,492,492,0,330
0,2,2019,1,3,492,492,0,331
0,3,2019,1,4,492,492,0,332
0,0,2019,2,2,492,344.4,147.60000000000002,333
0,1,2019,2,3,492,344.4,147.60000000000002,334
0,2,2019,2,4,492,344.4,147.60000000000002,335
0,3,2019,2,5,492,344.4,147.60000000000002,336
0,0,2019,1,1,504,504,0,337
0,1,2019,1,2,504,504,0,338
0,2,2019,1,3,504,504,0,339
0,3,2019,1,4,504,504,0,340
0,0,2019,2,2,504,352.8,151.2,341
0,1,2019,2,3,504,352.8,151.2,342
0,2,2019,2,4,504,352.8,151.2,343
0,3,2019,2,5,504,352.8,151.2,344
0,0,2019,1,1,516,516,0,345
0,1,2019,1,2,516,516,0,346
0,2,2019,1,3,516,516,0,347
0,3,2019,1,4,516,516,0,348
0,0,2019,2,2,516,361.2,154.8,349
0,1,2019,2,3,516,361.2,154.8,350
0,2,2019,2,4,516,361.2,154.8,351
0,3,2019,2,5,516,361.2,154.8,352
0,0,2019,1,1,528,528,0,353
0,1,2019,1,2,528,528,0,354
0,2,2019,1,3,528,528,0,355
0,3,2019,1,4,528,528,0,356
0,0,2019,2,2,528,369.6,158.39999999999998,357
0,1,2019,2,3,528,369.6,158.39999999999998,358
0,2,2019,2,4,528,369.6,158.39999999999998,359
0,3,2019,2,5,528,369.6,158.39999999999998,360
0,0,2019,1,1,540,540,0,361
0,1,2019,1,2,540,540,0,362
0,2,2019,1,3,540,540,0,363
0,3,2019,1,4,540,540,0,364
0,0,2019,2,2,540,378,162,365
0,1,2019,2,3,540,378,162,366
0,2,2019,2,4,540,378,162,367
0,3,2019,2,5,540,378,162,368
0,0,2019,1,1,552,552,0,369
0,1,2019,1,2,552,552,0,370
0,2,2019,1,3,552,552,0,371
0,3,2019,1,4,552,552,0,372
0,0,2019,2,2,552,386.4,165.60000000000002,373
0,1,2019,2,3,552,386.4,165.60000000000002,374
0,2,2019,2,4,552,386.4,165.60000000000002,375
0,3,2019,2,5,552,386.4,165.60000000000002,376
0,0,2019,1,1,564,564,0,377
0,1,2019,1,2,564,564,0,378
0,2,2019,1,3,564,564,0,379
0,3,2019,1,4,564,564,0,380
0,0,2019,2,2,564,394.8,169.2,381
0,1,2019,2,3,564,394.8,169.2,382
0,2,2019,2,4,564,394.8,169.2,383
0,3,2019,2,5,564,394.8,169.2,384
0,0,2019,1,1,576,576,0,385
0,1,2019,1,2,576,576,0,386
0,2,2019,1,3,576,576,0,387
0,3,2019,1,4,576,576,0,388
0,0,2019,2,2,576,403.2,172.8,389
0,1,2019,2,3,576,403.2,172.8,390
0,2,2019,2,4,576,403.2,172.8,391
0,3,2019,2,5,576,403.2,172.8,392
0,0,2019,1,1,588,588,0,393
0,1,2019,1,2,588,588,0,394
0,2,2019,1,3,588,588,0,395
0,3,2019,1,4,588,588,0,396
0,0,2019,2,2,588,411.6,176.39999999999998,397
0,1,2019,2,3,588,411.6,176.39999999999998,398
0,2,2019,2,4,588,411.6,176.39999999999998,399
0,3,2019,2,5,588,411.6,176.39999999999998,400
0,0,2019,1,1,600,600,0,401
0,1,2019,1,2,600,600,0,402
0,2,2019,1,3,600,600,0,403
0,3,2019,1,4,600,600,0,404
0,0,2019,2,2,600,420,180,405
0,1,2019,2,3,600,420,180,406
0,2,2019,2,4,600,420,180,407
0,3,2019,2,5,600,420,180,408
0,0,2019,1,1,612,612,0,409
0,1,2019,1,2,612,612,0,410
0,2,2019,1,3,612,612,0,411
0,3,2019,1,4,612,612,0,412
0,0,2019,2,2,612,428.4,183.60000000000002,413
0,1,2019,2,3,612,428.4,183.60000000000002,414
0,2,2019,2,4,612,428.4,183.60000000000002,415
0,3,2019,2,5,612,428.4,183.60000000000002,416
0,0,2019,1,1,624,624,0,417
0,1,2019,1,2,624,624,0,418
0,2,2019,1,3,624,624,0,419
0,3,2019,1,4,624,624,0,420
0,0,2019,2,2,624,436.8,187.2,421
0,1,2019,2,3,624,436.8,187.2,422
0,2,2019,2,4,624,436.8,187.2,423
0,3,2019,2,5,624,436.8,187.2,424
0,0,2019,1,1,636,636,0,425
0,1,2019,1,2,636,636,0,426
0,2,2019,1,3,636,636,0,427
0,3,2019,1,4,636,636,0,428
0,0,2019,2,2,636,445.2,190.8,429
0,1,2019,2,3,636,445.2,190.8,430
0,2,2019,2,4,636,445.2,190.8,431
0,3,2019,2,5,636,445.2,190.8,432
0,0,2019,1,1,648,648,0,433
0,1,2019,1,2,648,648,0,434
0,2,2019,1,3,648,648,0,435
0,3,2019,1,4,648,648,0,436
0,0,2019,2,2,648,453.6,194.39999999999998,437
0,1,2019,2,3,648,453.6,194.39999999999998,438
0,2,2019,2,4,648,453.6,194.39999999999998,439
0,3,2019,2,5,648,453.6,194.39999999999998,440
0,0,2019,1,1,660,660,0,441
0,1,2019,1,2,660,660,0,442
0,2,2019,1,3,660,660,0,443
0,3,2019,1,4,660,660,0,444
0,0,2019,2,2,660,462,198,445
0,1,2019,2,3,660,462,198,446
0,2,2019,2,4,660,462,198,447
0,3,2019,2,5,660,462,198,448
0,0,2019,1,1,672,672,0,449
0,1,2019,1,2,672,672,0,450
0,2,2019,1,3,672,672,0,451
0,3,2019,1,4,672,672,0,452
0,0,2019,2,2,672,470.4,201.60000000000002,453
0,1,2019,2,3,672,470.4,201.60000000000002,454
0,2,2019,2,4,672,470.4,201.60000000000002,455
0,3,2019,2,5,672,470.4,201.60000000000002,456
0,0,2019,1,1,684,684,0,457
0,1,2019,1,2,684,684,0,458
0,2,2019,1,3,684,684,0,459
0,3,2019,1,4,684,684,0,460
0,0,2019,2,2,684,478.8,205.2,461
0,1,2019,2,3,684,478.8,205.2,462
0,2,2019,2,4,684,478.8,205.2,463
0,3,2019,2,5,684,478.8,205.2,464
0,0,2019,1,1,696,696,0,465
0,1,2019,1,2,696,696,0,466
0,2,2019,1,3,696,696,0,467
0,3,2019,1,4,696,696,0,468
0,0,2019,2,2,696,487.2,208.8,469
0,1,2019,2,3,696,487.2,208.8,470
0,2,2019,2,4,696,487.2,208.8,471
0,3,2019,2,5,696,487.2,208.8,472
0,0,2019,1,1,708,708,0,473
0,1,2019,1,2,708,708,0,474
0,2,2019,1,3,708,708,0,475
0,3,2019,1,4,708,708,0,476
0,0,2019,2,2,708,495.6,212.39999999999998,477
0,1,2019,2,3,708,495.6,212.39999999999998,478
0,2,2019,2,4,708,495.6,212.39999999999998,479
0,3,2019,2,5,708,495.6,212.39999999999998,480
0,0,2019,1,1,720,720,0,481
0,1,2019,1,2,720,720,0,482
0,2,2019,1,3,720,720,0,483
0,3,2019,1,4,720,720,0,484
0,0,2019,2,2,720,504,216,485
0,1,2019,2,3,720,504,216,486
0,2,2019,2,4,720,504,216,487
0,3,2019,2,5,720,504,216,488
0,0,2019,1,1,732,732,0,489
0,1,2019,1,2,732,732,0,490
0,2,2019,1,3,732,732,0,491
0,3,2019,1,4,732,732,0,492
0,0,2019,2,2,732,512.4,219.60000000000002,493
0,1,2019,2,3,732,512.4,219.60000000000002,494
0,2,2019,2,4,732,512.4,219.60000000000002,495
0,3,2019,2,5,732,512.4,219.60000000000002,496
0,0,2019,1,1,744,744,0,497
0,1,2019,1,2,744,744,0,498
0,2,2019,1,3,744,744,0,499
0,3,2019,1,4,744,744,0,500
0,0,2019,2,2,744,520.8,223.20000000000005,501
0,1,2019,2,3,744,520.8,223.20000000000005,502
0,2,2019,2,4,744,520.8,223.20000000000005,503
0,3,2019,2,5,744,520.8,223.20000000000005,504
0,0,2019,1,1,756,756,0,505
0,1,2019,1,2,756,756,0,506
0,2,2019,1,3,756,756,0,507
0,3,2019,1,4,756,756,0,508
0,0,2019,2,2,756,529.2,226.79999999999995,509
0,1,2019,2,3,756,529.2,226.79999999999995,510
0,2,2019,2,4,756,529.2,226.79999999999995,511
0,3,2019,2,5,756,529.2,226.79999999999995,512
0,0,2019,1,1,768,768,0,513
0,1,2019,1,2,768,768,0,514
0,2,2019,1,3,768,768,0,515
0,3,2019,1,4,768,768,0,516
0,0,2019,2,2,768,537.6,230.39999999999998,517
0,1,2019,2,3,768,537.6,230.39999999999998,518
0,2,2019,2,4,768,537.6,230.39999999999998,519
0,3,2019,2,5,768,537.6,230.39999999999998,520
0,0,2019,1,1,780,780,0,521
0,1,2019,1,2,780,780,0,522
0,2,2019,1,3,780,780,0,523
0,3,2019,1,4,780,780,0,524
0,0,2019,2,2,780,546,234,525
0,1,2019,2,3,780,546,234,526
0,2,2019,2,4,780,546,234,527
0,3,2019,2,5,780,546,234,528
0,0,2019,1,1,792,792,0,529
0,1,2019,1,2,792,792,0,530
0,2,2019,1,3,792,792,0,531
0,3,2019,1,4,792,792,0,532
0,0,2019,2,2,792,554.4,237.60000000000002,533
0,1,2019,2,3,792,554.4,237.60000000000002,534
0,2,2019,2,4,792,554.4,237.60000000000002,535
0,3,2019,2,5,792,554.4,237.60000000000002,536
0,0,2019,1,1,804,804,0,537
0,1,2019,1,2,804,804,0,538
0,2,2019,1,3,804,804,0,539
0,3,2019,1,4,804,804,0,540
0,0,2019,2,2,804,562.8,241.20000000000005,541
0,1,2019,2,3,804,562.8,241.20000000000005,542
0,2,2019,2,4,804,562.8,241.20000000000005,543
0,3,2019,2,5,804,562.8,241.20000000000005,544
0,0,2019,1,1,816,816,0,545
0,1,2019,1,2,816,816,0,546
0,2,2019,1,3,816,816,0,547
0,3,2019,1,4,816,816,0,548
0,0,2019,2,2,816,571.2,244.79999999999995,549
0,1,2019,2,3,816,571.2,244.79999999999995,550
0,2,2019,2,4,816,571.2,244.79999999999995,551
0,3,2019,2,5,816,571.2,244.79999999999995,552
0,0,2019,1,1,828,828,0,553
0,1,2019,1,2,828,828,0,554
0,2,2019,1,3,828,828,0,555
0,3,2019,1,4,828,828,0,556
0,0,2019,2,2,828,579.6,248.39999999999998,557
0,1,2019,2,3,828,579.6,248.39999999999998,558
0,2,2019,2,4,828,579.6,248.39999999999998,559
0,3,2019,2,5,828,579.6,248.39999999999998,560
0,0,2019,1,1,840,840,0,561
0,1,2019,1,2,840,840,0,562
0,2,2019,1,3,840,840,0,563
0,3,2019,1,4,840,840,0,564
0,0,2019,2,2,840,588,252,565
0,1,2019,2,3,840,588,252,566
0,2,2019,2,4,840,588,252,567
0,3,2019,2,5,840,588,252,568
0,0,2019,1,1,852,852,0,569
0,1,2019,1,2,852,852,0,570
0,2,2019,1,3,852,852,0,571
0,3,2019,1,4,852,852,0,572
0,0,2019,2,2,852,596.4,255.60000000000002,573
0,1,2019,2,3,852,596.4,255.60000000000002,574
0,2,2019,2,4,852,596.4,255.60000000000002,575
0,3,2019,2,5,852,596.4,255.60000000000002,576
0,0,2019,1,1,864,864,0,577
0,1,2019,1,2,864,864,0,578
0,2,2019,1,3,864,864,0,579
0,3,2019,1,4,864,864,0,580
0,0,2019,2,2,864,604.8,259.20000000000005,581
0,1,2019,2,3,864,604.8,259.20000000000005,582
0,2,2019,2,4,864,604.8,259.20000000000005,583
0,3,2019,2,5,864,604.8,259.20000000000005,584
0,0,2019,1,1,876,876,0,585
0,1,2019,1,2,876,876,0,586
0,2,2019,1,3,876,876,0,587
0,3,2019,1,4,876,876,0,588
0,0,2019,2,2,876,613.2,262.79999999999995,589
0,1,2019,2,3,876,613.2,262.79999999999995,590
0,2,2019,2,4,876,613.2,262.79999999999995,591
0,3,2019,2,5,876,613.2,262.79999999999995,592
0,0,2019,1,1,888,888,0,593
0,1,2019,1,2,888,888,0,594
0,2,2019,1,3,888,888,0,595
0,3,2019,1,4,888,888,0,596
0,0,2019,2,2,888,621.6,266.4,597
0,1,2019,2,3,888,621.6,266.4,598
0,2,2019,2,4,888,621.6,266.4,599
0,3,2019,2,5,888,621.6,266.4,600
0,0,2019,1,1,900,900,0,601
0,1,2019,1,2,900,900,0,602
0,2,2019,1,3,900,900,0,603
0,3,2019,1,4,900,900,0,604
0,0,2019,2,2,900,630,270,605
0,1,2019,2,3,900,630,270,606
0,2,2019,2,4,900,630,270,607
0,3,2019,2,5,900,630,270,608
0,0,2019,1,1,912,912,0,609
0,1,2019,1,2,912,912,0,610
0,2,2019,1,3,912,912,0,611
0,3,2019,1,4,912,912,0,612
0,0,2019,2,2,912,638.4,273.6,613
0,1,2019,2,3,912,638.4,273.6,614
0,2,2019,2,4,912,638.4,273.6,615
0,3,2019,2,5,912,638.4,273.6,616
0,0,2019,1,1,924,924,0,617
0,1,2019,1,2,924,924,0,618
0,2,2019,1,3,924,924,0,619
0,3,2019,1,4,924,924,0,620
0,0,2019,2,2,924,646.8,277.20000000000005,621
0,1,2019,2,3,924,646.8,277.20000000000005,622
0,2,2019,2,4,924,646.8,277.20000000000005,623
0,3,2019,2,5,924,646.8,277.20000000000005,624
0,0,2019,1,1,936,936,0,625
0,1,2019,1,2,936,936,0,626
0,2,2019,1,3,936,936,0,627
0,3,2019,1,4,936,936,0,628
0,0,2019,2,2,936,655.2,280.79999999999995,629
0,1,2019,2,3,936,655.2,280.79999999999995,630
0,2,2019,2,4,936,655.2,280.79999999999995,631
0,3,2019,2,5,936,655.2,280.79999999999995,632
0,0,2019,1,1,948,948,0,633
0,1,2019,1,2,948,948,0,634
0,2,2019,1,3,948,948,0,635
0,3,2019,1,4,948,948,0,636
0,0,2019,2,2,948,663.6,284.4,637
0,1,2019,2,3,948,663.6,284.4,638
0,2,2019,2,4,948,663.6,284.4,639
0,3,2019,2,5,948,663.6,284.4,640
0,0,2019,1,1,960,960,0,641
0,1,2019,1,2,960,960,0,642
