DSI,EIC,FLPDYR,MARS,XTOT,e00200,e00200p,e00200s,RECID
0,2,2018,2,4,1800,1260,540,127
0,3,2018,2,5,1800,1260,540,128
0,0,2018,1,1,1920,1920,0,129
0,1,2018,1,2,1920,1920,0,130
0,2,2018,1,3,1920,1920,0,131
0,3,2018,1,4,1920,1920,0,132
0,0,2018,2,2,1920,1344,576,133
0,1,2018,2,3,1920,1344,576,134
0,2,2018,2,4,1920,1344,576,135
0,3,2018,2,5,1920,1344,576,136
0,0,2018,1,1,2040,2040,0,137
0,1,2018,1,2,2040,2040,0,138
0,2,2018,1,3,2040,2040,0,139
0,3,2018,1,4,2040,2040,0,140
0,0,2018,2,2,2040,1428,612,141
0,1,2018,2,3,2040,1428,612,142
0,2,2018,2,4,2040,1428,612,143
0,3,2018,2,5,2040,1428,612,144
0,0,2018,1,1,2160,2160,0,145
0,1,2018,1,2,2160,2160,0,146
0,2,2018,1,3,2160,2160,0,147
0,3,2018,1,4,2160,2160,0,148
0,0,2018,2,2,2160,1512,648,149
0,1,2018,2,3,2160,1512,648,150
0,2,2018,2,4,2160,1512,648,151
0,3,2018,2,5,2160,1512,648,152
0,0,2018,1,1,2280,2280,0,153
0,1,2018,1,2,2280,2280,0,154
0,2,2018,1,3,2280,2280,0,155
0,3,2018,1,4,2280,2280,0,156
0,0,2018,2,2,2280,1596,684,157
0,1,2018,2,3,2280,1596,684,158
0,2,2018,2,4,2280,1596,684,159
0,3,2018,2,5,2280,1596,684,160
0,0,2018,1,1,2400,2400,0,161
0,1,2018,1,2,2400,2400,0,162
0,2,2018,1,3,2400,2400,0,163
0,3,2018,1,4,2400,2400,0,164
0,0,2018,2,2,2400,1680,720,165
0,1,2018,2,3,2400,1680,720,166
0,2,2018,2,4,2400,1680,720,167
0,3,2018,2,5,2400,1680,720,168
0,0,2018,1,1,2520,2520,0,169
0,1,2018,1,2,2520,2520,0,170
0,2,2018,1,3,2520,2520,0,171
0,3,2018,1,4,2520,2520,0,172
0,0,2018,2,2,2520,1764,756,173
0,1,2018,2,3,2520,1764,756,174
0,2,2018,2,4,2520,1764,756,175
0,3,2018,2,5,2520,1764,756,176
0,0,2018,1,1,2640,2640,0,177
0,1,2018,1,2,2640,2640,0,178
0,2,2018,1,3,2640,2640,0,179
0,3,2018,1,4,2640,2640,0,180
0,0,2018,2,2,2640,1848,792,181
0,1,2018,2,3,2640,1848,792,182
0,2,2018,2,4,2640,1848,792,183
0,3,2018,2,5,2640,1848,792,184
0,0,2018,1,1,2760,2760,0,185
0,1,2018,1,2,2760,2760,0,186
0,2,2018,1,3,2760,2760,0,187
0,3,2018,1,4,2760,2760,0,188
0,0,2018,2,2,2760,1932,828,189
0,1,2018,2,3,2760,1932,828,190
0,2,2018,2,4,2760,1932,828,191
0,3,2018,2,5,2760,1932,828,192
0,0,2018,1,1,2880,2880,0,193
0,1,2018,1,2,2880,2880,0,194
0,2,2018,1,3,2880,2880,0,195
0,3,2018,1,4,2880,2880,0,196
0,0,2018,2,2,2880,2016,864,197
0,1,2018,2,3,2880,2016,864,198
0,2,2018,2,4,2880,2016,864,199
0,3,2018,2,5,2880,2016,864,200
0,0,2018,1,1,3e3,3e3,0,201
0,1,2018,1,2,3e3,3e3,0,202
0,2,2018,1,3,3e3,3e3,0,203
0,3,2018,1,4,3e3,3e3,0,204
0,0,2018,2,2,3e3,2100,900,205
0,1,2018,2,3,3e3,2100,900,206
0,2,2018,2,4,3e3,2100,900,207
0,3,2018,2,5,3e3,2100,900,208
0,0,2018,1,1,3120,3120,0,209
0,1,2018,1,2,3120,3120,0,210
0,2,2018,1,3,3120,3120,0,211
0,3,2018,1,4,3120,3120,0,212
0,0,2018,2,2,3120,2184,936,213
0,1,2018,2,3,3120,2184,936,214
0,2,2018,2,4,3120,2184,936,215
0,3,2018,2,5,3120,2184,936,216
0,0,2018,1,1,3240,3240,0,217
0,1,2018,1,2,3240,3240,0,218
0,2,2018,1,3,3240,3240,0,219
0,3,2018,1,4,3240,3240,0,220
0,0,2018,2,2,3240,2268,972,221
0,1,2018,2,3,3240,2268,972,222
0,2,2018,2,4,3240,2268,972,223
0,3,2018,2,5,3240,2268,972,224
0,0,2018,1,1,3360,3360,0,225
0,1,2018,1,2,3360,3360,0,226
0,2,2018,1,3,3360,3360,0,227
0,3,2018,1,4,3360,3360,0,228
0,0,2018,2,2,3360,2352,1008,229
0,1,2018,2,3,3360,2352,1008,230
0,2,2018,2,4,3360,2352,1008,231
0,3,2018,2,5,3360,2352,1008,232
0,0,2018,1,1,3480,3480,0,233
0,1,2018,1,2,3480,3480,0,234
0,2,2018,1,3,3480,3480,0,235
0,3,2018,1,4,3480,3480,0,236
0,0,2018,2,2,3480,2436,1044,237
0,1,2018,2,3,3480,2436,1044,238
0,2,2018,2,4,3480,2436,1044,239
0,3,2018,2,5,3480,2436,1044,240
0,0,2018,1,1,3600,3600,0,241
0,1,2018,1,2,3600,3600,0,242
0,2,2018,1,3,3600,3600,0,243
0,3,2018,1,4,3600,3600,0,244
0,0,2018,2,2,3600,2520,1080,245
0,1,2018,2,3,3600,2520,1080,246
0,2,2018,2,4,3600,2520,1080,247
0,3,2018,2,5,3600,2520,1080,248
0,0,2018,1,1,3720,3720,0,249
0,1,2018,1,2,3720,3720,0,250
0,2,2018,1,3,3720,3720,0,251
0,3,2018,1,4,3720,3720,0,252
0,0,2018,2,2,3720,2604,1116,253
0,1,2018,2,3,3720,2604,1116,254
0,2,2018,2,4,3720,2604,1116,255
0,3,2018,2,5,3720,2604,1116,256
0,0,2018,1,1,3840,3840,0,257
0,1,2018,1,2,3840,3840,0,258
0,2,2018,1,3,3840,3840,0,259
0,3,2018,1,4,3840,3840,0,260
0,0,2018,2,2,3840,2688,1152,261
0,1,2018,2,3,3840,2688,1152,262
0,2,2018,2,4,3840,2688,1152,263
0,3,2018,2,5,3840,2688,1152,264
0,0,2018,1,1,3960,3960,0,265
0,1,2018,1,2,3960,3960,0,266
0,2,2018,1,3,3960,3960,0,267
0,3,2018,1,4,3960,3960,0,268
0,0,2018,2,2,3960,2772,1188,269
0,1,2018,2,3,3960,2772,1188,270
0,2,2018,2,4,3960,2772,1188,271
0,3,2018,2,5,3960,2772,1188,272
0,0,2018,1,1,4080,4080,0,273
0,1,2018,1,2,4080,4080,0,274
0,2,2018,1,3,4080,4080,0,275
0,3,2018,1,4,4080,4080,0,276
0,0,2018,2,2,4080,2856,1224,277
0,1,2018,2,3,4080,2856,1224,278
0,2,2018,2,4,4080,2856,1224,279
0,3,2018,2,5,4080,2856,1224,280
0,0,2018,1,1,4200,4200,0,281
0,1,2018,1,2,4200,4200,0,282
0,2,2018,1,3,4200,4200,0,283
0,3,2018,1,4,4200,4200,0,284
0,0,2018,2,2,4200,2940,1260,285
0,1,2018,2,3,4200,2940,1260,286
0,2,2018,2,4,4200,2940,1260,287
0,3,2018,2,5,4200,2940,1260,288
0,0,2018,1,1,4320,4320,0,289
0,1,2018,1,2,4320,4320,0,290
0,2,2018,1,3,4320,4320,0,291
0,3,2018,1,4,4320,4320,0,292
0,0,2018,2,2,4320,3024,1296,293
0,1,2018,2,3,4320,3024,1296,294
0,2,2018,2,4,4320,3024,1296,295
0,3,2018,2,5,4320,3024,1296,296
0,0,2018,1,1,4440,4440,0,297
0,1,2018,1,2,4440,4440,0,298
0,2,2018,1,3,4440,4440,0,299
0,3,2018,1,4,4440,4440,0,300
0,0,2018,2,2,4440,3108,1332,301
0,1,2018,2,3,4440,3108,1332,302
0,2,2018,2,4,4440,3108,1332,303
0,3,2018,2,5,4440,3108,1332,304
0,0,2018,1,1,4560,4560,0,305
0,1,2018,1,2,4560,4560,0,306
0,2,2018,1,3,4560,4560,0,307
0,3,2018,1,4,4560,4560,0,308
0,0,2018,2,2,4560,3192,1368,309
0,1,2018,2,3,4560,3192,1368,310
0,2,2018,2,4,4560,3192,1368,311
0,3,2018,2,5,4560,3192,1368,312
0,0,2018,1,1,4680,4680,0,313
0,1,2018,1,2,4680,4680,0,314
0,2,2018,1,3,4680,4680,0,315
0,3,2018,1,4,4680,4680,0,316
0,0,2018,2,2,4680,3276,1404,317
0,1,2018,2,3,4680,3276,1404,318
0,2,2018,2,4,4680,3276,1404,319
0,3,2018,2,5,4680,3276,1404,320
0,0,2018,1,1,4800,4800,0,321
0,1,2018,1,2,4800,4800,0,322
0,2,2018,1,3,4800,4800,0,323
0,3,2018,1,4,4800,4800,0,324
0,0,2018,2,2,4800,3360,1440,325
0,1,2018,2,3,4800,3360,1440,326
0,2,2018,2,4,4800,3360,1440,327
0,3,2018,2,5,4800,3360,1440,328
0,0,2018,1,1,4920,4920,0,329
0,1,2018,1,2,4920,4920,0,330
0,2,2018,1,3,4920,4920,0,331
0,3,2018,1,4,4920,4920,0,332
0,0,2018,2,2,4920,3444,1476,333
0,1,2018,2,3,4920,3444,1476,334
0,2,2018,2,4,4920,3444,1476,335
0,3,2018,2,5,4920,3444,1476,336
0,0,2018,1,1,5040,5040,0,337
0,1,2018,1,2,5040,5040,0,338
0,2,2018,1,3,5040,5040,0,339
0,3,2018,1,4,5040,5040,0,340
0,0,2018,2,2,5040,3528,1512,341
0,1,2018,2,3,5040,3528,1512,342
0,2,2018,2,4,5040,3528,1512,343
0,3,2018,2,5,5040,3528,1512,344
0,0,2018,1,1,5160,5160,0,345
0,1,2018,1,2,5160,5160,0,346
0,2,2018,1,3,5160,5160,0,347
0,3,2018,1,4,5160,5160,0,348
0,0,2018,2,2,5160,3612,1548,349
0,1,2018,2,3,5160,3612,1548,350
0,2,2018,2,4,5160,3612,1548,351
0,3,2018,2,5,5160,3612,1548,352
0,0,2018,1,1,5280,5280,0,353
0,1,2018,1,2,5280,5280,0,354
0,2,2018,1,3,5280,5280,0,355
0,3,2018,1,4,5280,5280,0,356
0,0,2018,2,2,5280,3696,1584,357
0,1,2018,2,3,5280,3696,1584,358
0,2,2018,2,4,5280,3696,1584,359
0,3,2018,2,5,5280,3696,1584,360
0,0,2018,1,1,5400,5400,0,361
0,1,2018,1,2,5400,5400,0,362
0,2,2018,1,3,5400,5400,0,363
0,3,2018,1,4,5400,5400,0,364
0,0,2018,2,2,5400,3780,1620,365
0,1,2018,2,3,5400,3780,1620,366
0,2,2018,2,4,5400,3780,1620,367
0,3,2018,2,5,5400,3780,1620,368
0,0,2018,1,1,5520,5520,0,369
0,1,2018,1,2,5520,5520,0,370
0,2,2018,1,3,5520,5520,0,371
0,3,2018,1,4,5520,5520,0,372
0,0,2018,2,2,5520,3864,1656,373
0,1,2018,2,3,5520,3864,1656,374
0,2,2018,2,4,5520,3864,1656,375
0,3,2018,2,5,5520,3864,1656,376
0,0,2018,1,1,5640,5640,0,377
0,1,2018,1,2,5640,5640,0,378
0,2,2018,1,3,5640,5640,0,379
0,3,2018,1,4,5640,5640,0,380
0,0,2018,2,2,5640,3948,1692,381
0,1,2018,2,3,5640,3948,1692,382
0,2,2018,2,4,5640,3948,1692,383
0,3,2018,2,5,5640,3948,1692,384
0,0,2018,1,1,5760,5760,0,385
0,1,2018,1,2,5760,5760,0,386
0,2,2018,1,3,5760,5760,0,387
0,3,2018,1,4,5760,5760,0,388
0,0,2018,2,2,5760,4032,1728,389
0,1,2018,2,3,5760,4032,1728,390
0,2,2018,2,4,5760,4032,1728,391
0,3,2018,2,5,5760,4032,1728,392
0,0,2018,1,1,5880,5880,0,393
0,1,2018,1,2,5880,5880,0,394
0,2,2018,1,3,5880,5880,0,395
0,3,2018,1,4,5880,5880,0,396
0,0,2018,2,2,5880,4116,1764,397
0,1,2018,2,3,5880,4116,1764,398
0,2,2018,2,4,5880,4116,1764,399
0,3,2018,2,5,5880,4116,1764,400
0,0,2018,1,1,6e3,6e3,0,401
0,1,2018,1,2,6e3,6e3,0,402
0,2,2018,1,3,6e3,6e3,0,403
0,3,2018,1,4,6e3,6e3,0,404
0,0,2018,2,2,6e3,4200,1800,405
0,1,2018,2,3,6e3,4200,1800,406
0,2,2018,2,4,6e3,4200,1800,407
0,3,2018,2,5,6e3,4200,1800,408
0,0,2018,1,1,6120,6120,0,409
0,1,2018,1,2,6120,6120,0,410
0,2,2018,1,3,6120,6120,0,411
0,3,2018,1,4,6120,6120,0,412
0,0,2018,2,2,6120,4284,1836,413
0,1,2018,2,3,6120,4284,1836,414
0,2,2018,2,4,6120,4284,1836,415
0,3,2018,2,5,6120,4284,1836,416
0,0,2018,1,1,6240,6240,0,417
0,1,2018,1,2,6240,6240,0,418
0,2,2018,1,3,6240,6240,0,419
0,3,2018,1,4,6240,6240,0,420
0,0,2018,2,2,6240,4368,1872,421
0,1,2018,2,3,6240,4368,1872,422
0,2,2018,2,4,6240,4368,1872,423
0,3,2018,2,5,6240,4368,1872,424
0,0,2018,1,1,6360,6360,0,425
0,1,2018,1,2,6360,6360,0,426
0,2,2018,1,3,6360,6360,0,427
0,3,2018,1,4,6360,6360,0,428
0,0,2018,2,2,6360,4452,1908,429
0,1,2018,2,3,6360,4452,1908,430
0,2,2018,2,4,6360,4452,1908,431
0,3,2018,2,5,6360,4452,1908,432
0,0,2018,1,1,6480,6480,0,433
0,1,2018,1,2,6480,6480,0,434
0,2,2018,1,3,6480,6480,0,435
0,3,2018,1,4,6480,6480,0,436
0,0,2018,2,2,6480,4536,1944,437
0,1,2018,2,3,6480,4536,1944,438
0,2,2018,2,4,6480,4536,1944,439
0,3,2018,2,5,6480,4536,1944,440
0,0,2018,1,1,6600,6600,0,441
0,1,2018,1,2,6600,6600,0,442
0,2,2018,1,3,6600,6600,0,443
0,3,2018,1,4,6600,6600,0,444
0,0,2018,2,2,6600,4620,1980,445
0,1,2018,2,3,6600,4620,1980,446
0,2,2018,2,4,6600,4620,1980,447
0,3,2018,2,5,6600,4620,1980,448
0,0,2018,1,1,6720,6720,0,449
0,1,2018,1,2,6720,6720,0,450
0,2,2018,1,3,6720,6720,0,451
0,3,2018,1,4,6720,6720,0,452
0,0,2018,2,2,6720,4704,2016,453
0,1,2018,2,3,6720,4704,2016,454
0,2,2018,2,4,6720,4704,2016,455
0,3,2018,2,5,6720,4704,2016,456
0,0,2018,1,1,6840,6840,0,457
0,1,2018,1,2,6840,6840,0,458
0,2,2018,1,3,6840,6840,0,459
0,3,2018,1,4,6840,6840,0,460
0,0,2018,2,2,6840,4788,2052,461
0,1,2018,2,3,6840,4788,2052,462
0,2,2018,2,4,6840,4788,2052,463
0,3,2018,2,5,6840,4788,2052,464
0,0,2018,1,1,6960,6960,0,465
0,1,2018,1,2,6960,6960,0,466
0,2,2018,1,3,6960,6960,0,467
0,3,2018,1,4,6960,6960,0,468
0,0,2018,2,2,6960,4872,2088,469
0,1,2018,2,3,6960,4872,2088,470
0,2,2018,2,4,6960,4872,2088,471
0,3,2018,2,5,6960,4872,2088,472
0,0,2018,1,1,7080,7080,0,473
0,1,2018,1,2,7080,7080,0,474
0,2,2018,1,3,7080,7080,0,475
0,3,2018,1,4,7080,7080,0,476
0,0,2018,2,2,7080,4956,2124,477
0,1,2018,2,3,7080,4956,2124,478
0,2,2018,2,4,7080,4956,2124,479
0,3,2018,2,5,7080,4956,2124,480
0,0,2018,1,1,7200,7200,0,481
0,1,2018,1,2,7200,7200,0,482
0,2,2018,1,3,7200,7200,0,483
0,3,2018,1,4,7200,7200,0,484
0,0,2018,2,2,7200,5040,2160,485
0,1,2018,2,3,7200,5040,2160,486
0,2,2018,2,4,7200,5040,2160,487
0,3,2018,2,5,7200,5040,2160,488
0,0,2018,1,1,7320,7320,0,489
0,1,2018,1,2,7320,7320,0,490
0,2,2018,1,3,7320,7320,0,491
0,3,2018,1,4,7320,7320,0,492
0,0,2018,2,2,7320,5124,2196,493
0,1,2018,2,3,7320,5124,2196,494
0,2,2018,2,4,7320,5124,2196,495
0,3,2018,2,5,7320,5124,2196,496
0,0,2018,1,1,7440,7440,0,497
0,1,2018,1,2,7440,7440,0,498
0,2,2018,1,3,7440,7440,0,499
0,3,2018,1,4,7440,7440,0,500
0,0,2018,2,2,7440,5208,2232,501
0,1,2018,2,3,7440,5208,2232,502
0,2,2018,2,4,7440,5208,2232,503
0,3,2018,2,5,7440,5208,2232,504
0,0,2018,1,1,7560,7560,0,505
0,1,2018,1,2,7560,7560,0,506
0,2,2018,1,3,7560,7560,0,507
0,3,2018,1,4,7560,7560,0,508
0,0,2018,2,2,7560,5292,2268,509
0,1,2018,2,3,7560,5292,2268,510
0,2,2018,2,4,7560,5292,2268,511
0,3,2018,2,5,7560,5292,2268,512
0,0,2018,1,1,7680,7680,0,513
0,1,2018,1,2,7680,7680,0,514
0,2,2018,1,3,7680,7680,0,515
0,3,2018,1,4,7680,7680,0,516
0,0,2018,2,2,7680,5376,2304,517
0,1,2018,2,3,7680,5376,2304,518
0,2,2018,2,4,7680,5376,2304,519
0,3,2018,2,5,7680,5376,2304,520
0,0,2018,1,1,7800,7800,0,521
0,1,2018,1,2,7800,7800,0,522
0,2,2018,1,3,7800,7800,0,523
0,3,2018,1,4,7800,7800,0,524
0,0,2018,2,2,7800,5460,2340,525
0,1,2018,2,3,7800,5460,2340,526
0,2,2018,2,4,7800,5460,2340,527
0,3,2018,2,5,7800,5460,2340,528
0,0,2018,1,1,7920,7920,0,529
0,1,2018,1,2,7920,7920,0,530
0,2,2018,1,3,7920,7920,0,531
0,3,2018,1,4,7920,7920,0,532
0,0,2018,2,2,7920,5544,2376,533
0,1,2018,2,3,7920,5544,2376,534
0,2,2018,2,4,7920,5544,2376,535
0,3,2018,2,5,7920,5544,2376,536
0,0,2018,1,1,8040,8040,0,537
0,1,2018,1,2,8040,8040,0,538
0,2,2018,1,3,8040,8040,0,539
0,3,2018,1,4,8040,8040,0,540
0,0,2018,2,2,8040,5628,2412,541
0,1,2018,2,3,8040,5628,2412,542
0,2,2018,2,4,8040,5628,2412,543
0,3,2018,2,5,8040,5628,2412,544
0,0,2018,1,1,8160,8160,0,545
0,1,2018,1,2,8160,8160,0,546
0,2,2018,1,3,8160,8160,0,547
0,3,2018,1,4,8160,8160,0,548
0,0,2018,2,2,8160,5712,2448,549
0,1,2018,2,3,8160,5712,2448,550
0,2,2018,2,4,8160,5712,2448,551
0,3,2018,2,5,8160,5712,2448,552
0,0,2018,1,1,8280,8280,0,553
0,1,2018,1,2,8280,8280,0,554
0,2,2018,1,3,8280,8280,0,555
0,3,2018,1,4,8280,8280,0,556
0,0,2018,2,2,8280,5796,2484,557
0,1,2018,2,3,8280,5796,2484,558
0,2,2018,2,4,8280,5796,2484,559
0,3,2018,2,5,8280,5796,2484,560
0,0,2018,1,1,8400,8400,0,561
0,1,2018,1,2,8400,8400,0,562
0,2,2018,1,3,8400,8400,0,563
0,3,2018,1,4,8400,8400,0,564
0,0,2018,2,2,8400,5880,2520,565
0,1,2018,2,3,8400,5880,2520,566
0,2,2018,2,4,8400,5880,2520,567
0,3,2018,2,5,8400,5880,2520,568
0,0,2018,1,1,8520,8520,0,569
0,1,2018,1,2,8520,8520,0,570
0,2,2018,1,3,8520,8520,0,571
0,3,2018,1,4,8520,8520,0,572
0,0,2018,2,2,8520,5964,2556,573
0,1,2018,2,3,8520,5964,2556,574
0,2,2018,2,4,8520,5964,2556,575
0,3,2018,2,5,8520,5964,2556,576
0,0,2018,1,1,8640,8640,0,577
0,1,2018,1,2,8640,8640,0,578
0,2,2018,1,3,8640,8640,0,579
0,3,2018,1,4,8640,8640,0,580
0,0,2018,2,2,8640,6048,2592,581
0,1,2018,2,3,8640,6048,2592,582
0,2,2018,2,4,8640,6048,2592,583
0,3,2018,2,5,8640,6048,2592,584
0,0,2018,1,1,8760,8760,0,585
0,1,2018,1,2,8760,8760,0,586
0,2,2018,1,3,8760,8760,0,587
0,3,2018,1,4,8760,8760,0,588
0,0,2018,2,2,8760,6132,2628,589
0,1,2018,2,3,8760,6132,2628,590
0,2,2018,2,4,8760,6132,2628,591
0,3,2018,2,5,8760,6132,2628,592
0,0,2018,1,1,8880,8880,0,593
0,1,2018,1,2,8880,8880,0,594
0,2,2018,1,3,8880,8880,0,595
0,3,2018,1,4,8880,8880,0,596
0,0,2018,2,2,8880,6216,2664,597
0,1,2018,2,3,8880,6216,2664,598
0,2,2018,2,4,8880,6216,2664,599
0,3,2018,2,5,8880,6216,2664,600
0,0,2018,1,1,9e3,9e3,0,601
0,1,2018,1,2,9e3,9e3,0,602
0,2,2018,1,3,9e3,9e3,0,603
0,3,2018,1,4,9e3,9e3,0,604
0,0,2018,2,2,9e3,6300,2700,605
0,1,2018,2,3,9e3,6300,2700,606
0,2,2018,2,4,9e3,6300,2700,607
0,3,2018,2,5,9e3,6300,2700,608
0,0,2018,1,1,9120,9120,0,609
0,1,2018,1,2,9120,9120,0,610
0,2,2018,1,3,9120,9120,0,611
0,3,2018,1,4,9120,9120,0,612
0,0,2018,2,2,9120,6384,2736,613
0,1,2018,2,3,9120,6384,2736,614
0,2,2018,2,4,9120,6384,2736,615
0,3,2018,2,5,9120,6384,2736,616
0,0,2018,1,1,9240,9240,0,617
0,1,2018,1,2,9240,9240,0,618
0,2,2018,1,3,9240,9240,0,619
0,3,2018,1,4,9240,9240,0,620
0,0,2018,2,2,9240,6468,2772,621
0,1,2018,2,3,9240,6468,2772,622
0,2,2018,2,4,9240,6468,2772,623
0,3,2018,2,5,9240,6468,2772,624
0,0,2018,1,1,9360,9360,0,625
0,1,2018,1,2,9360,9360,0,626
0,2,2018,1,3,9360,9360,0,627
0,3,2018,1,4,9360,9360,0,628
0,0,2018,2,2,9360,6552,2808,629
0,1,2018,2,3,9360,6552,2808,630
0,2,2018,2,4,9360,6552,2808,631
0,3,2018,2,5,9360,6552,2808,632
0,0,2018,1,1,9480,9480,0,633
0,1,2018,1,2,9480,9480,0,634
0,2,2018,1,3,9480,9480,0,635
0,3,2018,1,4,9480,9480,0,636
0,0,2018,2,2,9480,6636,2844,637
0,1,2018,2,3,9480,6636,2844,638
0,2,2018,2,4,9480,6636,2844,639
0,3,2018,2,5,9480,6636,2844,640
0,0,2018,1,1,9600,9600,0,641
0,1,2018,1,2,9600,9600,0,642
0,2,2018,1,3,9600,9600,0,643
0,3,2018,1,4,9600,9600,0,644
0,0,2018,2,2,9600,6720,2880,645
0,1,2018,2,3,9600,6720,2880,646
0,2,2018,2,4,9600,6720,2880,647
0,3,2018,2,5,9600,6720,2880,648
0,0,2018,1,1,9720,9720,0,649
0,1,2018,1,2,9720,9720,0,650
0,2,2018,1,3,9720,9720,0,651
0,3,2018,1,4,9720,9720,0,652
0,0,2018,2,2,9720,6804,2916,653
0,1,2018,2,3,9720,6804,2916,654
0,2,2018,2,4,9720,6804,2916,655
0,3,2018,2,5,9720,6804,2916,656
0,0,2018,1,1,9840,9840,0,657
0,1,2018,1,2,9840,9840,0,658
